"analysis","value"
"strict_adjusted_p_threshold","0.1"
"strict_i2_threshold","50"
"strict_absolute_effect_threshold","0.25"
"strict_all_significant_genes","12"
"strict_upregulated_significant_genes","5"
"strict_downregulated_significant_genes","7"
"strict_ora_enriched_terms","1"
"relaxed_adjusted_p_threshold","0.1"
"relaxed_i2_threshold","not_applied"
"relaxed_absolute_effect_threshold","0.1"
"relaxed_all_significant_genes","105"
"relaxed_upregulated_significant_genes","45"
"relaxed_downregulated_significant_genes","60"
"relaxed_ora_enriched_terms","66"
