"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","evidence_codes","intersection","query_name"
"query_1",TRUE,0.000143968593007847,3473,75,32,0.426666666666667,0.00921393607831846,"GO:0023051","GO:BP","regulation of signaling",20972,6204,"GO:0023052;GO:0050789","IMP ISS IEA,IMP IBA,ISS IEA,IDA IBA IEA,IMP,NAS,IDA IMP ISS IBA TAS IEA,IDA IEA,IEA,IDA IMP ISS NAS IEA,IDA,IDA IMP ISS IBA IEA,ISS,IDA IMP IBA,IDA IMP IGI TAS,IMP,IEA,ISS,IDA,IDA,TAS,IBA NAS IEA,IDA IMP IEA,IEA,ISS IEA,IDA,ISS IEA,IDA IMP IEA,IDA IMP IEA,IDA IMP ISS,IDA IGI ISS TAS IEA,IEA","MAP3K5,TMEM170B,CIDEA,TNIP1,ARL6IP5,AGTR1,PTPN11,WFS1,TNFRSF11B,SQSTM1,TRIM8,LAMTOR1,HCAR2,FST,APOE,PPP2R1B,FZD4,RBPMS2,DCN,UCHL1,ARHGAP21,IGFBP3,BAMBI,KLF15,STMN3,FBP1,FABP5,TRIM6,ANGPT1,P2RX4,JAK2,CLMP","relaxed_no_i2_abs0.1_all_significant"
"query_1",TRUE,0.000151093230935036,3480,75,32,0.426666666666667,0.00919540229885057,"GO:0010646","GO:BP","regulation of cell communication",20972,4105,"GO:0007154;GO:0050794","IMP ISS IEA,IMP IBA,ISS IEA,IDA IBA IEA,IMP,NAS,IDA IMP ISS IBA TAS IEA,IDA IEA,IEA,IDA IMP ISS NAS IEA,IDA,IDA IMP ISS IBA IEA,ISS,IDA IMP IBA,IDA IMP IGI TAS,IMP,IEA,ISS,IDA,IDA,TAS,IBA NAS IEA,IDA IMP IEA,IEA,ISS IEA,IDA,ISS IEA,IDA IMP IEA,IDA IMP IEA,IDA IMP ISS,IDA IGI ISS TAS IEA,IEA","MAP3K5,TMEM170B,CIDEA,TNIP1,ARL6IP5,AGTR1,PTPN11,WFS1,TNFRSF11B,SQSTM1,TRIM8,LAMTOR1,HCAR2,FST,APOE,PPP2R1B,FZD4,RBPMS2,DCN,UCHL1,ARHGAP21,IGFBP3,BAMBI,KLF15,STMN3,FBP1,FABP5,TRIM6,ANGPT1,P2RX4,JAK2,CLMP","relaxed_no_i2_abs0.1_all_significant"
"query_1",TRUE,0.000312957938139983,3993,75,34,0.453333333333333,0.00851490107688455,"GO:0048583","GO:BP","regulation of response to stimulus",20972,12005,"GO:0050789;GO:0050896","IMP ISS IEA,IMP IBA,ISS IEA,IDA ISS IBA IEA,IMP,ISS IBA IEA,TAS IC,IDA IMP ISS IBA TAS IEA,IDA IMP IEA,IEA,IDA IMP NAS,IDA,IDA IMP ISS IBA IEA,IDA IMP IBA,IDA IMP IGI TAS IEA,IMP,IEA,ISS,IMP,IDA,IDA IBA,IDA,TAS,IBA NAS IEA,IDA IMP IEA,IEA,ISS IEA,IDA,IEA,IDA IBA TAS IEA,IDA IMP IEA,IDA IMP IEA,IDA IMP ISS,IDA IGI ISS TAS NAS IEA","MAP3K5,TMEM170B,CIDEA,TNIP1,ARL6IP5,AKIRIN2,AGTR1,PTPN11,WFS1,TNFRSF11B,SQSTM1,TRIM8,LAMTOR1,FST,APOE,PPP2R1B,FZD4,RBPMS2,COLEC12,DCN,SLF2,UCHL1,ARHGAP21,IGFBP3,BAMBI,KLF15,STMN3,FBP1,FABP5,CFH,TRIM6,ANGPT1,P2RX4,JAK2","relaxed_no_i2_abs0.1_all_significant"
"query_1",TRUE,0.000366986281351263,3031,75,29,0.386666666666667,0.00956779940613659,"GO:0009966","GO:BP","regulation of signal transduction",20972,3643,"GO:0007165;GO:0010646;GO:0023051;GO:0048583","IMP ISS IEA,IMP IBA,ISS IEA,IDA IBA IEA,IMP,IDA IMP ISS IBA TAS IEA,IDA IEA,IEA,IDA IMP NAS,IDA,IDA IMP ISS IBA IEA,IDA IMP IBA,IDA IMP IGI TAS,IMP,IEA,ISS,IDA,IDA,TAS,IBA NAS IEA,IDA IMP IEA,IEA,ISS IEA,IDA,IEA,IDA IMP IEA,IDA IMP IEA,IDA IMP ISS,IDA IGI ISS TAS IEA","MAP3K5,TMEM170B,CIDEA,TNIP1,ARL6IP5,PTPN11,WFS1,TNFRSF11B,SQSTM1,TRIM8,LAMTOR1,FST,APOE,PPP2R1B,FZD4,RBPMS2,DCN,UCHL1,ARHGAP21,IGFBP3,BAMBI,KLF15,STMN3,FBP1,FABP5,TRIM6,ANGPT1,P2RX4,JAK2","relaxed_no_i2_abs0.1_all_significant"
"query_1",TRUE,0.000400745443225108,6535,75,45,0.6,0.00688599846977812,"GO:0032502","GO:BP","developmental process",20972,7117,"GO:0008150","IEA,IBA IEA,ISS IEA,ISS IEA,IMP,IMP IGI,IDA,IBA IEA,IMP ISS IEA,IMP IEA,IEA,ISO TAS IEA,IEP,IBA IEA,IEA,TAS,IEA,IEA,ISS IEA,IDA IBA IEA,IEA,IDA ISS TAS IEA,IMP,IMP ISS IBA IEA,IMP ISS IBA,IDA IGI TAS,IEA,TAS IEA,IEA,IEA,IEA,IDA IEA,ISS IBA IEA,IMP,ISS IEA,ISS IBA TAS IEA,IMP IEP IEA,TAS,IDA IBA,IEA,IEA,IDA ISS IBA IEA,ISS TAS,ISS IBA TAS IEA,IMP","MAP3K5,TUBB2A,CIDEA,AKIRIN2,ALDH3A2,AGTR1,MMD,PALLD,PTPN11,WFS1,MFGE8,TNFRSF11B,HNRNPH3,TNMD,TM4SF1,COL6A3,SQSTM1,TRIM8,EHD2,FST,SAV1,APOE,PPP2R1B,FZD4,RBPMS2,DCN,UCHL1,CRABP2,ITPK1,HLF,NOTCH3,IGFBP3,SDC2,BAMBI,KLF15,STMN3,AQP1,FABP5,SPARC,CD248,TRIM6,ANGPT1,P2RX4,JAK2,CLMP","relaxed_no_i2_abs0.1_all_significant"
"query_1",TRUE,0.000678197877249528,190,75,8,0.106666666666667,0.0421052631578947,"GO:0033002","GO:BP","muscle cell proliferation",20972,7457,"GO:0008283","IEA,IEA,ISS IEA,ISS,IEA,IDA,IDA,IEA","MAP3K5,SAV1,APOE,RBPMS2,NOTCH3,IGFBP3,ANGPT1,JAK2","relaxed_no_i2_abs0.1_all_significant"
"query_1",TRUE,0.00217099299249083,6150,75,42,0.56,0.00682926829268293,"GO:0048518","GO:BP","positive regulation of biological process",20972,11952,"GO:0008150;GO:0050789","IDA IMP ISS IEA,IMP IBA,IDA ISS,IMP,ISS IBA IEA,IMP IGI TAS,IDA,IDA IMP ISS IBA TAS IEA,IDA ISS IEA,IDA ISS TAS IEA,IDA IMP IEA,IDA IMP ISS IBA IEA,IDA ISS,ISS IEA,IDA,IBA IEA,IMP,IDA IMP IGI ISS TAS IEA,IMP,IDA IMP ISS IEA,ISS,IMP,IDA IGI,IDA IMP IBA,IMP,IEA,IMP IBA,IDA,IMP IEA,IDA IMP IEA,IDA IMP IEA,IMP IEA,IDA IMP IEA,ISS IEA,IDA IBA TAS IEA,IDA,IEA,IDA IMP IEA,IDA IMP IEA,IDA ISS TAS IEA,IDA IMP ISS TAS NAS,IDA IGI ISS TAS NAS IEA","MAP3K5,LIMCH1,TNIP1,ARL6IP5,AKIRIN2,AGTR1,MMD,PTPN11,WFS1,SQSTM1,TRIM8,LAMTOR1,HCAR2,EHD2,FST,SAV1,LCP1,APOE,PPP2R1B,FZD4,RBPMS2,COLEC12,DCN,SLF2,UCHL1,CRABP2,CCND2,HLF,NOTCH3,IGFBP3,BAMBI,KLF15,AQP1,FABP5,CFH,SPARC,CD248,TRIM6,ANGPT1,SCARB1,P2RX4,JAK2","relaxed_no_i2_abs0.1_all_significant"
"query_1",TRUE,0.00217562348298121,1532,75,19,0.253333333333333,0.012402088772846,"GO:0016477","GO:BP","cell migration",20972,4977,"GO:0048870","IMP,IBA,IDA,IEA,IEA,IMP,IDA IMP,IMP,IDA,IDA,IBA,IDA,IEA,IDA,IBA IEA,IDA,TAS IEA,IMP ISS TAS,IEA","LIMCH1,TUBB2A,AGTR1,PALLD,PTPN11,LCP1,APOE,FZD4,DCN,IGFBP3,SDC2,BAMBI,AQP1,SPARC,CD248,ANGPT1,SCARB1,P2RX4,JAK2","relaxed_no_i2_abs0.1_all_significant"
"query_1",TRUE,0.00261276822022983,5948,75,41,0.546666666666667,0.00689307330195024,"GO:0048856","GO:BP","anatomical structure development",20972,12247,"GO:0032502","IEA,IBA IEA,ISS IEA,IMP,IMP IGI,IDA,IBA IEA,IMP ISS IEA,IMP IEA,IEA,ISO TAS IEA,IEP,IBA IEA,IEA,TAS,ISS IEA,IDA IEA,IEA,IDA ISS TAS IEA,IMP,IMP ISS IBA IEA,IMP ISS IBA,IDA IGI TAS,IEA,TAS IEA,IEA,IEA,IEA,IDA,ISS IBA IEA,IMP,ISS IEA,ISS IBA TAS IEA,IMP IEP IEA,TAS,IDA IBA,IEA,IDA ISS IBA IEA,ISS TAS,ISS IBA TAS IEA,IMP","MAP3K5,TUBB2A,AKIRIN2,ALDH3A2,AGTR1,MMD,PALLD,PTPN11,WFS1,MFGE8,TNFRSF11B,HNRNPH3,TNMD,TM4SF1,COL6A3,EHD2,FST,SAV1,APOE,PPP2R1B,FZD4,RBPMS2,DCN,UCHL1,CRABP2,ITPK1,HLF,NOTCH3,IGFBP3,SDC2,BAMBI,KLF15,STMN3,AQP1,FABP5,SPARC,CD248,ANGPT1,P2RX4,JAK2,CLMP","relaxed_no_i2_abs0.1_all_significant"
"query_1",TRUE,0.00319041202138506,57,75,5,0.0666666666666667,0.087719298245614,"GO:0060986","GO:BP","endocrine hormone secretion",20972,14061,"GO:0046879;GO:0050886","NAS,IEA,ISS,IEA,IEA","AGTR1,PTPN11,HCAR2,FZD4,AQP1","relaxed_no_i2_abs0.1_all_significant"
